,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ATR(df,14)","Exit_ATR(df,14)","Entry_SMA(C,800)","Exit_SMA(C,800)","Entry_ADX(df,14)","Exit_ADX(df,14)",Entry_λ(H),Exit_λ(H),Entry_λ(L),Exit_λ(L)
20,-139,4303,4343,19941.82,19785.764285714286,19785.764285714286,,16169.610069999988,5522.134215714286,0.005833375790173631,2022-06-29 07:00:00,2022-06-30 23:00:00,1 days 16:00:00,,197.52071428571435,311.36000000000007,25523.707974999998,25063.3125125,59.28193174377723,66.95078349547825,21888.0,21539.85,19889.0,18626.0
21,-137,4606,4655,20239.42,20106.535714285714,20106.535714285714,,12677.751209999831,5527.395932857143,0.004572182898521739,2022-07-11 22:00:00,2022-07-13 23:00:00,2 days 01:00:00,,203.2435714285722,372.96857142857124,21777.0965125,21137.6682125,26.056013225840406,12.726390226647638,22527.37,21771.71,20154.01,18910.94
22,118,4700,4745,21165.85,20838.934285714284,20838.934285714284,,-43532.61883142863,4956.5645457142855,-0.017429987388714784,2022-07-15 20:00:00,2022-07-17 17:00:00,1 days 21:00:00,,238.7664285714288,227.63142857142807,20683.894350000002,20489.2863375,54.07163128579175,22.30638696922556,21189.0,21684.54,18910.94,18917.26
23,104,4758,4820,21862.0,22920.91,22920.91,,105469.21735999998,4657.422640000001,0.046387663068337734,2022-07-18 06:00:00,2022-07-20 20:00:00,2 days 14:00:00,,279.591428571429,403.4678571428573,20473.0154,20589.018874999998,43.67253917615249,29.264723567313606,21880.04,24276.74,19616.07,20750.01
24,-147,4960,4981,20746.81,21470.550000000003,21470.550000000003,,-112595.73192000024,6205.951920000001,-0.03691928349466741,2022-07-26 16:00:00,2022-07-27 13:00:00,0 days 21:00:00,,189.1592857142862,151.00571428571467,20995.278675,21006.1651375,64.41587733471506,34.3741295067732,23756.49,23014.64,20706.5,20706.5
25,78,4995,5062,23282.54,23790.907142857144,23790.907142857144,,35980.90826571432,3671.7288771428575,0.019812859581226385,2022-07-28 03:00:00,2022-07-30 22:00:00,2 days 19:00:00,,339.4449999999994,267.8664285714286,21031.3076625,21241.221775,68.60847824999811,36.87763455140702,23460.58,24668.0,20706.5,20805.0
26,179,5263,5289,23729.49,23478.211428571427,23478.211428571427,,-53429.04284142915,8450.178555714285,-0.012578705773160137,2022-08-08 07:00:00,2022-08-09 09:00:00,1 days 02:00:00,,145.36642857142866,162.94571428571413,22096.9009125,22217.1448,30.085434168184808,31.560965153850336,23792.86,24245.0,22400.0,22754.13
27,82,5330,5350,24438.33,23932.554285714286,23932.554285714286,,-45440.02108285723,3966.4125114285716,-0.02267530549638332,2022-08-11 02:00:00,2022-08-11 22:00:00,0 days 20:00:00,,264.94642857142884,248.75857142857163,22325.811199999996,22395.444637499997,57.81647394597896,49.852493650567155,24491.22,24918.54,22664.69,22664.69
28,-158,5522,5576,22760.42,21448.588571428572,21448.588571428572,,200284.34235999957,6985.023354285714,0.05569415766492871,2022-08-19 02:00:00,2022-08-21 08:00:00,2 days 06:00:00,,165.230714285714,186.5157142857141,23163.8262875,23152.533025,28.224118687149815,29.875704183189566,25211.32,24446.71,22713.42,20761.9
29,-119,5704,5773,20780.86,20116.452857142856,20116.452857142856,,74197.66977000015,4866.78023,0.030004043624758565,2022-08-26 16:00:00,2022-08-29 13:00:00,2 days 21:00:00,,241.76714285714272,146.71214285714294,22915.819162500004,22772.747025,44.90011706536286,24.419344087610863,21900.0,21886.77,20635.12,19520.0
30,-141,5970,5996,19102.3,19238.88142857143,19238.88142857143,,-24664.08801000014,5406.106581428571,-0.009157149139109023,2022-09-06 18:00:00,2022-09-07 20:00:00,1 days 02:00:00,,196.83071428571384,149.35714285714312,21952.090562499998,21820.58905,41.558070235926984,49.92427044097888,20441.26,20180.0,18900.0,18510.77
31,-81,6136,6216,20829.77,20064.348571428574,20064.348571428574,,58686.7121099998,3312.4236042857146,0.03478326020882595,2022-09-13 16:00:00,2022-09-17 00:00:00,3 days 08:00:00,,330.6528571428571,186.77571428571486,21415.58815,20981.1044875,26.5219984734406,30.894364764366546,22799.0,22799.0,20751.0,19320.01
32,-132,6267,6278,18766.39,19322.561428571433,19322.561428571433,,-78442.37016000063,5027.741588571429,-0.031666206446738336,2022-09-19 03:00:00,2022-09-19 14:00:00,0 days 11:00:00,,209.3542857142859,276.3850000000002,20706.164537499997,20633.1255375,68.42935120029786,67.47359973786713,20330.24,20209.97,18670.0,18232.56
33,129,6460,6472,20099.04,19385.542857142857,19385.542857142857,,-97134.64261714305,5093.511188571429,-0.037463566703399113,2022-09-27 04:00:00,2022-09-27 16:00:00,0 days 12:00:00,,206.41928571428616,259.04785714285754,19999.791800000003,19977.7043125,31.197740411527224,77.02184054446171,20300.0,20385.86,18531.42,18531.42
34,146,6645,6708,20326.4,19691.877142857145,19691.877142857145,,-98483.00560571413,5842.668462857144,-0.03318546984639249,2022-10-04 21:00:00,2022-10-07 12:00:00,2 days 15:00:00,,181.92214285714257,126.28714285714263,19767.3170875,19780.006575,69.872154953563,17.811337476371147,20475.0,20475.0,18920.35,19122.67
35,-381,6742,6855,19317.84,18998.645714285718,18998.645714285718,,107014.44179999865,14598.58105714286,0.014539813975061234,2022-10-08 22:00:00,2022-10-13 15:00:00,4 days 17:00:00,,72.43214285714306,211.61214285714308,19767.195275,19685.5503,35.63416815323691,49.353841434291084,20475.0,19558.0,19237.14,18190.0
36,96,6866,6882,19860.69,19157.69857142857,19157.69857142857,,-71232.94244571436,3745.7653028571426,-0.03736072700106886,2022-10-14 02:00:00,2022-10-14 18:00:00,0 days 16:00:00,,225.9599999999999,176.64714285714243,19659.751262499998,19620.1169,33.19497323549877,40.61074076771233,19951.87,19951.87,18190.0,18190.0
37,-228,7009,7051,18972.69,19234.510000000002,19234.510000000002,,-68406.20160000076,8711.2416,-0.015813635283136167,2022-10-20 01:00:00,2022-10-21 19:00:00,1 days 18:00:00,,119.06500000000025,132.63785714285692,19369.731737500002,19325.8742125,26.47050139640078,34.712487016535704,19706.66,19706.66,18900.0,18650.0
38,450,7098,7118,19474.75,19242.354285714286,19242.354285714286,,-122000.76835714288,17422.69692857143,-0.013921247696192667,2022-10-23 18:00:00,2022-10-24 14:00:00,0 days 20:00:00,,65.99571428571446,104.04214285714235,19320.9282875,19331.586325,28.35592865888412,34.178529744390104,19500.0,19695.0,18650.0,18650.0
39,278,7145,7200,19813.64,20196.54,20196.54,,95323.3699600004,11122.83004,0.017305745940675323,2022-10-25 17:00:00,2022-10-28 00:00:00,2 days 07:00:00,,116.62357142857088,173.29714285714337,19346.284649999998,19445.425325000004,30.986592835284437,35.689973971110376,19840.7,21020.0,18856.4,19157.0
40,160,7383,7439,21218.29,21022.75714285714,21022.75714285714,,-38043.82468571502,6758.567542857143,-0.01120608231321746,2022-11-04 15:00:00,2022-11-06 23:00:00,2 days 08:00:00,,188.38571428571387,87.47714285714314,19725.4542625,19852.255175,50.56577097566022,30.049855640443873,21302.05,21480.65,20031.24,20031.24
