,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(15),Exit_calculate…(15),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(60),Exit_calculate…(60)
24,2,16406,16411,36099.87,37390.0,,,2433.280259999995,146.97974,0.03370206402405328,2023-11-15 14:00:00,2023-11-15 19:00:00,0 days 05:00:00,,35891.367726869124,36391.445299239786,35834.94542811956,35867.74378661321,33593.60531033187,33633.84202687704,196.49785714285878,312.23857142857275,34800.0,34800.0
25,2,16704,16722,37242.7,38210.75,,,1785.1931000000059,150.9069,0.023967020382517953,2023-11-28 00:00:00,2023-11-28 18:00:00,0 days 18:00:00,,37082.04138088552,37482.222027643926,37044.127683238665,37075.16742589178,35458.291290254245,35539.88277764975,239.00857142857058,230.25142857142782,36707.0,36707.0
26,2,17050,17055,41804.58,41474.87,,,-825.9788999999982,166.5589,-0.009879047941636972,2023-12-12 10:00:00,2023-12-12 15:00:00,0 days 05:00:00,,41729.852821178356,41661.3925065779,41712.31541517985,41709.04326813624,39010.272352598724,39042.60666947582,298.90571428571485,315.9771428571429,40222.0,40222.0
27,2,17179,17183,42173.21,41717.85,,,-1078.5021200000012,167.78212,-0.012786578493787908,2023-12-17 19:00:00,2023-12-17 23:00:00,0 days 04:00:00,,42012.991940782915,41902.93848872553,41992.51303406867,41987.08602292657,39884.03170950929,39902.97213919067,256.4628571428569,277.84071428571406,41510.0,41252.0
28,2,17209,17247,42713.97,43867.04,,,2132.977979999999,173.16202,0.024968154212778617,2023-12-19 01:00:00,2023-12-20 15:00:00,1 days 14:00:00,,42118.98977398049,43114.37477158223,41921.23666779484,42116.0025106667,40007.001137830346,40258.96130711468,399.21071428571514,338.1714285714276,40542.93,40542.93
29,2,17420,17441,43154.34,42456.07,,,-1567.7608199999936,171.22082,-0.018164578811771786,2023-12-27 20:00:00,2023-12-28 17:00:00,0 days 21:00:00,,42972.07705384984,42832.709632614184,42906.86664665786,42925.59198071057,41344.69917458249,41432.330080323765,292.2964285714292,264.91857142857094,41637.6,41637.6
30,2,17539,17541,43111.1,43687.85,,,979.9021,173.59789999999998,0.011364846872383287,2024-01-01 19:00:00,2024-01-01 21:00:00,0 days 02:00:00,,42799.254527541016,42998.940185148596,42679.79649260748,42692.692033593456,41642.62777512312,41652.65700796347,194.18142857142917,216.442142857143,41520.3,41678.07
31,2,17607,17689,43676.07,43632.0,,,-262.7561399999994,174.61614,-0.00300801033609483,2024-01-04 15:00:00,2024-01-08 01:00:00,3 days 10:00:00,,43306.95043826735,43969.50659284149,43193.47953388403,43490.88620546142,42035.230630126855,42379.63875494276,358.12357142857064,291.50999999999993,40750.0,43100.0
32,2,18172,18173,42231.84,42720.33,,,807.0756600000104,169.90434,0.009555298324676515,2024-01-28 04:00:00,2024-01-28 05:00:00,0 days 01:00:00,,42088.75589193905,42147.96640544667,41460.649426067015,41467.970293667895,42135.66542753611,42136.73103196174,168.403571428571,184.68928571428478,39550.0,39637.99
33,2,18194,18209,42160.21,43200.01,,,1908.8795600000058,170.72044,0.022638401943443826,2024-01-29 02:00:00,2024-01-29 17:00:00,0 days 15:00:00,,42113.032207131546,42403.34822427481,41565.73847388004,41637.95500071329,42141.037082872615,42147.66900072012,262.33142857142695,315.62142857142993,41218.0,41394.34
