,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(100),Exit_calculate…(100),Entry_calculate…(400),Exit_calculate…(400),Entry_calculate…(14),Exit_calculate…(14),Entry_λ,Exit_λ,Entry_calculate…(20),Exit_calculate…(20)
20,2,1884,1889,41760.68,41340.3,,,-1006.9619599999947,166.20196,-0.012056340557672816,2022-03-20 11:00:00,2022-03-20 16:00:00,0 days 05:00:00,,41159.49283912596,41185.54367876379,40248.575272348615,40277.88503549689,245.36714285714334,230.80071428571526,-59.15482767671632,-79.32044189084765,1164.0458549999998,1208.380141
21,2,1947,1963,42322.66,42160.33,,,-493.6259800000035,168.96598,-0.005831698432943477,2022-03-23 02:00:00,2022-03-23 18:00:00,0 days 16:00:00,,41703.82763001257,41841.93544003547,40659.383974355624,40777.96145979052,310.75214285714327,347.79857142857145,-86.74707657974398,-7.723475905040328,1888.5983175000001,1777.6727460000002
22,2,2032,2038,44251.84,44571.93,,,462.5324600000076,177.64754,0.005226138167362122,2022-03-26 15:00:00,2022-03-26 21:00:00,0 days 06:00:00,,43505.2644861213,43608.30508617985,41692.5954150875,41773.05051965968,154.23142857142997,180.00642857142884,-46.854509690894346,0.18821076634622358,902.431969,981.9143865
23,1,2106,2115,47491.51,46865.28,,,-720.5867900000032,94.35679,-0.015172960177513906,2022-03-29 17:00:00,2022-03-30 02:00:00,0 days 09:00:00,,46051.17962879575,46261.91358235736,43161.55959532491,43345.296753086004,314.2278571428563,409.879285714285,-61.91670757567135,-80.98129826576306,1642.9497485,1797.6390455
24,1,2116,2132,47209.25,47130.02,,,-173.5692700000032,94.33927,-0.0036765945233190947,2022-03-30 03:00:00,2022-03-30 19:00:00,0 days 16:00:00,,46285.152125280976,46555.799552973505,43365.69656977884,43666.45995818557,403.0692857142853,325.3392857142857,-55.88304446154136,-8.489232887859515,1816.240628,1758.6276245000001
25,1,2133,2141,47073.89,47095.55,,,-72.50943999999652,94.16944000000001,-0.0015403324433140553,2022-03-30 20:00:00,2022-03-31 04:00:00,0 days 08:00:00,,46569.721938063136,46652.89398407318,43684.37726512729,43819.54017489994,327.8328571428569,317.2042857142847,-3.212497714263712,-4.838387378356337,1753.2012739999998,1543.2857645
26,-1,2345,2347,43648.01,43004.37,,,556.9876199999994,86.65238000000001,0.0127608937956163,2022-04-08 16:00:00,2022-04-08 18:00:00,0 days 02:00:00,,44404.509389239356,44348.68080618909,44683.70056889673,44666.757549075744,322.27428571428493,411.7371428571418,9.833607523314768,-37.75260329118922,1481.4727245,1795.5208265
27,-1,2372,2377,42467.82,42753.96,,,-371.3617799999994,85.22178,-0.008744545399316545,2022-04-09 19:00:00,2022-04-10 00:00:00,0 days 05:00:00,,43604.976850794636,43507.87539333893,44407.425002716314,44362.37484372514,167.65642857142873,189.1135714285717,47.3542483559398,58.19105613849726,776.633566,680.265613
28,-1,2378,2395,42632.31,43103.61,,,-557.0359200000029,85.73592,-0.013066050608095282,2022-04-10 01:00:00,2022-04-10 18:00:00,0 days 17:00:00,,43493.209147926274,43275.12596515481,44354.41900909309,44222.20697098777,195.00499999999997,200.44571428571467,63.648417782803676,52.635731329241544,668.686547,723.6945595
29,-1,2399,2400,42706.71,42111.93,,,509.9613599999988,84.81864,0.011941012548145192,2022-04-10 22:00:00,2022-04-10 23:00:00,0 days 01:00:00,,43237.00352413893,43215.653949403495,44193.775621060064,44183.62636609218,291.18785714285696,311.7092857142857,-29.567831137419986,-63.004682276949865,943.7695615,1032.8503484999999
30,-1,2463,2465,40521.75,41158.18,,,-718.1099300000003,81.67993000000001,-0.017721592231332472,2022-04-13 14:00:00,2022-04-13 16:00:00,0 days 02:00:00,,41096.12875716894,41095.54011851904,43157.45674294598,43136.80246847806,363.46071428571406,388.4492857142863,73.51031682911021,140.28464660069582,1684.649758,1789.468234
