,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(15),Exit_calculate…(15),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14)
20,4,13339,13342,30528.99,30302.22,,,-1150.4048400000017,243.32484000000002,-0.009420593671785413,2023-07-10 19:00:00,2023-07-10 22:00:00,0 days 03:00:00,,30336.636238227893,30376.549140062827,30241.581140375136,30246.207888181347,29277.629655398956,29286.582600745172,142.81785714285746,203.31214285714304
21,4,13878,13889,29650.0,29025.91,,,-2731.0636400000008,234.70364,-0.023027518043844834,2023-08-02 06:00:00,2023-08-02 17:00:00,0 days 11:00:00,,29488.202160861645,29362.085922399063,29470.01405041903,29463.963847594907,29565.128861755413,29560.280100262677,165.93071428571446,156.27571428571432
22,4,14031,14055,29439.12,29755.41,,,1028.3818800000035,236.77812,0.008733123476517042,2023-08-08 15:00:00,2023-08-09 15:00:00,1 days 00:00:00,,29330.539211346797,29806.090438947384,29268.588462808515,29349.524434368475,29435.644421188703,29457.78148277186,113.60785714285703,128.57071428571493
23,4,14089,14161,29481.65,29266.0,,,-1097.590600000006,234.99060000000003,-0.00930740477551294,2023-08-11 01:00:00,2023-08-14 01:00:00,3 days 00:00:00,,29480.273541301613,29352.649709596586,29382.865719003214,29391.207517433744,29462.4587770235,29453.204332183413,97.72428571428567,47.70571428571384
24,4,14175,14200,29533.99,29332.67,,,-1040.7466400000135,235.46664,-0.008809736171780483,2023-08-14 15:00:00,2023-08-15 16:00:00,1 days 01:00:00,,29436.435409086043,29380.936999313693,29394.696115926516,29395.91030312958,29452.395925410154,29449.43559904422,93.9778571428573,64.20428571428472
25,4,14924,14943,26678.13,26238.13,,,-1971.66504,211.66504000000003,-0.018476417200156057,2023-09-14 20:00:00,2023-09-15 15:00:00,0 days 19:00:00,,26520.386876977183,26462.533753828702,26030.18355107203,26087.917088847793,26661.68038179098,26654.969116840235,166.0142857142855,107.31142857142913
26,4,14951,14997,26776.32,26436.34,,,-1572.7706399999984,212.85064,-0.014684342732683165,2023-09-15 23:00:00,2023-09-17 21:00:00,1 days 22:00:00,,26487.585437173573,26512.562989617567,26107.61952543983,26221.238070729243,26651.231250061366,26639.02025825755,148.09000000000015,55.65714285714265
27,4,15003,15018,26663.12,26760.48,,,175.74560000000233,213.6944,0.0016478341619435106,2023-09-18 03:00:00,2023-09-18 18:00:00,0 days 15:00:00,,26538.089921781604,26946.09688719958,26233.936057775434,26303.408200912094,26637.615198672134,26649.534357548397,90.03928571428567,193.02571428571432
28,3,16406,16430,36099.87,36770.0,,,1791.7803899999922,218.60961000000003,0.016544661518171695,2023-11-15 14:00:00,2023-11-16 14:00:00,1 days 00:00:00,,35891.367726869124,37150.40038709418,35834.94542811956,36048.802558313335,33593.60531033187,33808.32753496964,196.49785714285878,263.47428571428514
29,3,16704,16727,37242.7,37861.1,,,1629.8886000000043,225.3114,0.014587991740663287,2023-11-28 00:00:00,2023-11-28 23:00:00,0 days 23:00:00,,37082.04138088552,37716.184073443954,37044.127683238665,37105.028579061036,35458.291290254245,35570.27871227626,239.00857142857058,265.70071428571464
30,2,17050,17055,41804.58,41474.87,,,-825.9788999999982,166.5589,-0.009879047941636972,2023-12-12 10:00:00,2023-12-12 15:00:00,0 days 05:00:00,,41729.852821178356,41661.3925065779,41712.31541517985,41709.04326813624,39010.272352598724,39042.60666947582,298.90571428571485,315.9771428571429
31,2,17179,17183,42173.21,41717.85,,,-1078.5021200000012,167.78212,-0.012786578493787908,2023-12-17 19:00:00,2023-12-17 23:00:00,0 days 04:00:00,,42012.991940782915,41902.93848872553,41992.51303406867,41987.08602292657,39884.03170950929,39902.97213919067,256.4628571428569,277.84071428571406
32,2,17209,17253,42713.97,43441.83,,,1283.4084000000012,172.3116,0.015023286292517434,2023-12-19 01:00:00,2023-12-20 21:00:00,1 days 20:00:00,,42118.98977398049,43440.681013152614,41921.23666779484,42179.80637445493,40007.001137830346,40310.8518652258,399.21071428571514,421.5578571428575
33,2,17420,17440,43154.34,42445.99,,,-1587.900659999997,171.20066,-0.01839792544620073,2023-12-27 20:00:00,2023-12-28 16:00:00,0 days 20:00:00,,42972.07705384984,42874.582437273355,42906.86664665786,42928.17386686917,41344.69917458249,41429.55844097539,292.2964285714292,258.99857142857115
34,2,17539,17580,43111.1,43702.89,,,1009.9520200000018,173.62798,0.011713364075609398,2024-01-01 19:00:00,2024-01-03 12:00:00,1 days 17:00:00,,42799.254527541016,44716.61961366254,42679.79649260748,43233.56156181727,41642.62777512312,41969.20281503454,194.18142857142917,547.6914285714291
35,2,17607,17618,43676.07,43376.0,,,-774.2441399999994,174.10414,-0.008863482222645064,2024-01-04 15:00:00,2024-01-05 02:00:00,0 days 11:00:00,,43306.95043826735,43797.443657001844,43193.47953388403,43250.47320930301,42035.230630126855,42088.54851231561,358.12357142857064,575.5071428571433
36,2,18172,18175,42231.84,42413.27,,,193.5697800000006,169.29021999999998,0.0022917516736187284,2024-01-28 04:00:00,2024-01-28 07:00:00,0 days 03:00:00,,42088.75589193905,42207.09068542011,41460.649426067015,41480.32822291369,42135.66542753611,42138.049227846284,168.403571428571,204.67928571428482
