,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(10),Exit_calculate…(10),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(50),Exit_calculate…(50)
20,3,14031,14033,29439.12,29748.0,,,749.078640000003,177.56136,0.008481669289027787,2023-08-08 15:00:00,2023-08-08 17:00:00,0 days 02:00:00,,29378.351481342062,29511.56024784055,29268.588462808515,29275.34060643419,29435.644421188703,29437.353512932947,113.60785714285703,141.2842857142857,28701.03,28701.03
21,3,14102,14200,29470.71,29332.67,,,-590.5301400000026,176.41014,-0.006679288690364087,2023-08-11 14:00:00,2023-08-15 16:00:00,4 days 02:00:00,,29444.950677905395,29370.27985297837,29386.711066431886,29395.91030312958,29461.3860122522,29449.43559904422,62.5028571428572,64.20428571428472,29320.2,29102.45
22,3,14919,15012,26731.39,27196.98,,,1234.9848900000004,161.78511,0.015399933561255172,2023-09-14 15:00:00,2023-09-18 12:00:00,3 days 21:00:00,,26492.230092374375,26933.614205269383,26010.2277234656,26271.664555310446,26662.217295067592,26642.987733588838,135.2807142857143,151.7542857142858,25764.17,26377.35
23,3,15255,15272,26793.36,27179.99,,,997.9699500000031,161.92005,0.012415637680380478,2023-09-28 15:00:00,2023-09-29 08:00:00,0 days 17:00:00,,26624.675568973704,27020.688191403588,26460.926042164487,26522.239806208578,26610.87275202969,26628.45392501694,137.64857142857105,137.94714285714275,26088.34,26112.06
24,3,15677,15678,27251.18,27916.43,,,1830.24717,165.50283000000002,0.022387375152195348,2023-10-16 05:00:00,2023-10-16 06:00:00,0 days 01:00:00,,27296.32048866702,27390.19130890938,27153.11681974253,27157.49883422929,27058.75228865832,27060.63458007241,161.0114285714291,171.0950000000004,26789.0,26789.0
25,3,16405,16411,36190.71,37390.0,,,3377.1278700000025,220.74213,0.03110492416424007,2023-11-15 13:00:00,2023-11-15 19:00:00,0 days 06:00:00,,35904.57715605291,36587.884755450075,35833.09824034778,35867.74378661321,33587.30369659053,33633.84202687704,193.24357142857272,312.23857142857275,34800.0,34800.0
26,3,16570,16622,36690.98,37771.99,,,3019.641089999984,223.38891,0.02743309200244852,2023-11-22 10:00:00,2023-11-24 14:00:00,2 days 04:00:00,,36530.88745280716,37626.035137102146,36488.95985966211,36724.5579609026,34673.66313140331,34991.31439566296,271.35928571428616,206.7735714285705,35632.01,36239.2
27,3,16705,16721,37258.14,37877.57,,,1632.8828700000008,225.40713,0.014608734896588954,2023-11-28 01:00:00,2023-11-28 17:00:00,0 days 16:00:00,,37097.51653531541,37526.87305417484,37045.15068866565,37069.17095382416,35462.63535694524,35533.79577584161,228.3728571428567,217.39285714285663,36707.0,36707.0
28,2,17049,17055,42036.86,41474.87,,,-1291.0034599999958,167.02346,-0.01535561243156595,2023-12-12 09:00:00,2023-12-12 15:00:00,0 days 06:00:00,,41728.1806837676,41637.27259964636,41711.665886184404,41709.04326813624,39003.26572519597,39042.60666947582,317.6485714285721,315.9771428571429,40222.0,40222.0
29,2,17083,17086,42127.45,42988.48,,,1551.8281400000124,170.23185999999998,0.018418253893838853,2023-12-13 19:00:00,2023-12-13 22:00:00,0 days 03:00:00,,41866.713873856264,42355.51284300617,41647.15636515246,41672.79840807891,39197.64498528442,39225.622587075704,327.02571428571486,361.4807142857145,40222.0,40555.0
30,2,17179,17183,42173.21,41717.85,,,-1078.5021200000012,167.78212,-0.012786578493787908,2023-12-17 19:00:00,2023-12-17 23:00:00,0 days 04:00:00,,42014.200761718705,41855.37632659219,41992.51303406867,41987.08602292657,39884.03170950929,39902.97213919067,256.4628571428569,277.84071428571406,41510.0,41252.0
31,2,17208,17247,42657.8,43867.04,,,2245.430319999996,173.04968000000002,0.026319106001715917,2023-12-19 00:00:00,2023-12-20 15:00:00,1 days 15:00:00,,42138.00946098674,43294.3058609335,41911.91390303092,42116.0025106667,39998.72081527172,40258.96130711468,372.7128571428579,338.1714285714276,40542.93,41146.83
32,2,17418,17440,43022.0,42445.99,,,-1322.955980000004,170.93598,-0.01537534261540614,2023-12-27 18:00:00,2023-12-28 16:00:00,0 days 22:00:00,,42952.53036439496,42784.92023617569,42901.58552022738,42928.17386686917,41334.89812383017,41429.55844097539,268.87785714285775,258.99857142857115,41637.6,41637.6
33,2,17538,17540,42812.71,43517.98,,,1237.8786200000081,172.66138,0.014456905671236609,2024-01-01 18:00:00,2024-01-01 20:00:00,0 days 02:00:00,,42758.15163202602,43040.223323918246,42674.18984707308,42686.49458900211,41637.93350171917,41647.734472313816,178.38642857142935,201.54857142857196,41965.84,41965.84
34,2,17607,17689,43676.07,43632.0,,,-262.7561399999994,174.61614,-0.00300801033609483,2024-01-04 15:00:00,2024-01-08 01:00:00,3 days 10:00:00,,43384.83867702982,43932.12127384503,43193.47953388403,43490.88620546142,42035.230630126855,42379.63875494276,358.12357142857064,291.50999999999993,40750.0,43397.05
35,2,18166,18173,42150.59,42720.33,,,969.7381600000105,169.74184,0.011503257249779998,2024-01-27 22:00:00,2024-01-28 05:00:00,0 days 07:00:00,,41945.91268780215,42248.654941462984,41429.94320036114,41467.970293667895,42134.51552788893,42136.73103196174,134.86857142857116,184.68928571428478,39792.02,39896.84
36,2,18194,18209,42160.21,43200.01,,,1908.8795600000058,170.72044,0.022638401943443826,2024-01-29 02:00:00,2024-01-29 17:00:00,0 days 15:00:00,,42091.67156269814,42500.31775982461,41565.73847388004,41637.95500071329,42141.037082872615,42147.66900072012,262.33142857142695,315.62142857142993,41394.34,41620.81
37,2,18279,18356,42651.1,42636.43,,,-199.91505999999652,170.57506,-0.0023436096607121603,2024-02-01 15:00:00,2024-02-04 20:00:00,3 days 05:00:00,,42332.303035124365,42861.885530402,42105.76918339027,42471.1790528476,42272.46690960862,42403.387605521326,243.00500000000102,157.61714285714282,41884.28,42541.4
38,1,19365,19384,68269.05,67467.19,,,-937.5962400000005,135.73624,-0.013733840444535291,2024-03-17 21:00:00,2024-03-18 16:00:00,0 days 19:00:00,,67897.41591294682,67685.83866040103,67834.80157185726,67847.41685171479,61573.248760983835,61868.8244502503,742.2421428571439,737.7185714285713,64533.0,64533.0
39,1,19448,19458,66985.19,65724.99,,,-1392.9101799999971,132.71018,-0.020794300650636355,2024-03-21 08:00:00,2024-03-21 18:00:00,0 days 10:00:00,,66939.86526691231,66373.94958515633,66840.79693786072,66824.05320837311,62321.60617412962,62426.91688643879,807.9949999999995,753.2942857142849,60775.0,60775.0
40,1,19536,19551,67210.0,69377.2,,,2030.6127999999972,136.5872,0.030212956405296792,2024-03-25 00:00:00,2024-03-25 15:00:00,0 days 15:00:00,,66267.77439903867,67950.85969513869,66047.5096640461,66180.81356823456,62862.031901927076,63030.43374403369,602.0292857142855,643.5571428571441,62985.0,63772.29
41,1,19801,19805,68606.01,67648.0,,,-1094.2640099999949,136.25401,-0.01594997304172032,2024-04-05 01:00:00,2024-04-05 05:00:00,0 days 04:00:00,,68070.22019174874,67720.54023345833,67949.72877972879,67937.8428694934,65699.92203291152,65717.825846028,740.6192857142867,784.2578571428593,64493.07,65064.52
