fast_ema,slow_ema,rsi_entry_max,rsi_entry_min,atr_sl_mult,be_trigger_atr,swing_lookback,0
25,250,70,45,2.0,2.5,50,0.0
25,250,70,45,2.0,2.5,80,0.0
25,250,70,50,3.0,1.5,40,0.0
25,250,75,35,2.5,3.0,50,0.0
25,250,75,45,3.0,3.0,50,793.0232582543049
25,250,75,50,2.0,3.0,80,0.0
25,250,80,30,2.0,3.0,60,0.0
25,250,80,30,3.0,1.5,60,0.0
25,250,80,30,3.0,3.0,60,0.0
25,250,80,30,4.0,3.0,60,0.0
25,250,80,35,4.0,1.5,50,0.0
25,300,60,30,2.5,2.0,40,0.0
25,300,60,40,2.5,2.0,60,0.0
25,300,60,40,3.5,2.5,50,0.0
25,300,65,30,3.5,2.5,50,0.0
25,300,65,30,4.0,2.5,60,0.0
25,300,65,35,4.0,3.0,60,0.0
25,300,65,40,2.5,3.0,80,0.0
25,300,65,45,2.0,2.5,80,0.0
25,300,65,45,3.0,1.5,50,0.0
25,300,65,45,3.0,3.0,40,0.0
25,300,65,45,3.5,2.5,60,0.0
25,300,70,30,2.0,2.5,80,0.0
25,300,70,30,4.0,1.5,80,0.0
25,300,70,30,4.0,3.0,60,305.9555939870688
25,300,70,40,2.0,2.0,40,0.0
25,300,70,40,3.5,1.5,80,0.0
25,300,70,40,3.5,2.5,60,646.3416923858846
25,300,70,45,2.5,2.0,80,0.0
25,300,75,35,3.5,2.5,80,0.0
25,300,75,40,3.5,3.0,40,1058.7589945410755
25,300,75,40,3.5,3.0,60,1027.545479638668
25,300,75,45,3.5,3.0,50,1325.1257739256914
25,300,75,50,3.0,2.0,60,0.0
25,300,75,50,4.0,2.0,60,0.0
25,300,80,30,2.0,1.5,50,0.0
25,300,80,30,2.0,2.5,80,0.0
25,300,80,35,2.0,1.5,80,0.0
25,300,80,35,3.0,1.5,50,0.0
25,300,80,35,3.5,2.5,50,518.4496148381107
25,300,80,40,3.0,2.5,60,0.0
25,300,80,40,3.5,3.0,50,598.9039434410113
25,300,80,50,3.0,2.5,40,710.111436921562
25,300,80,50,3.5,1.5,60,0.0
25,300,80,50,4.0,3.0,80,776.6482426890439
25,350,60,40,2.0,2.0,60,0.0
25,350,60,40,2.5,1.5,40,0.0
25,350,60,40,2.5,3.0,60,0.0
25,350,60,40,3.0,1.5,40,0.0
25,350,65,35,4.0,2.5,80,0.0
25,350,65,45,2.0,1.5,80,0.0
25,350,65,45,3.5,2.0,50,0.0
25,350,65,45,3.5,3.0,60,0.0
