,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(20),Exit_calculate…(20),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(4800),Exit_calculate…(4800)
20,-2,6563,6582,19329.5,19333.96,,,-86.24691999999825,77.32692,-0.0022309661398379576,2022-10-01 10:00:00,2022-10-02 05:00:00,0 days 19:00:00,,19401.409774657368,19321.51200729273,19410.823779077313,19398.160157452694,91.77000000000069,76.0221428571427,26884.179135961684,26824.408469697617
21,-2,6723,6859,19593.0,19157.9,,,792.6981999999971,77.5018,0.020229117541979178,2022-10-08 02:00:00,2022-10-13 18:00:00,5 days 16:00:00,,19644.041578622684,18963.744941456105,19654.06085574383,19374.882496170165,119.38642857142908,259.5142857142858,26421.97539218963,26025.781545904392
22,-2,6887,6905,19107.94,19127.95,,,-116.49178000000407,76.47178,-0.0030482558559427565,2022-10-14 22:00:00,2022-10-15 16:00:00,0 days 18:00:00,,19366.415092149782,19187.122768654615,19396.734202483975,19369.93821134627,173.89214285714272,56.92214285714336,25950.191292588486,25899.45812578434
23,-2,6990,7024,19276.16,19325.61,,,-176.10354000000146,77.20354,-0.0045679103099372665,2022-10-19 05:00:00,2022-10-20 15:00:00,1 days 10:00:00,,19346.214047941106,19183.135566325043,19355.826236742752,19317.919561573708,112.57142857142883,95.0971428571429,25670.545109638213,25579.09387615517
24,-2,7470,7641,19636.07,16845.34,,,5508.497179999999,72.96282,0.14026475715354442,2022-11-08 05:00:00,2022-11-15 08:00:00,7 days 03:00:00,,20465.443221291007,16667.457964439447,20570.322877217797,18130.244141377512,231.29928571428562,189.5957142857143,24683.540824532505,24165.894650480197
25,-3,8179,8197,16805.99,16850.88,,,-235.64060999999828,100.97061000000001,-0.004673742516805078,2022-12-07 18:00:00,2022-12-08 12:00:00,0 days 18:00:00,,16872.32994031707,16833.909129681608,16886.35632014128,16879.550126521528,76.39928571428625,53.829999999999664,22661.946792727347,22618.34219789006
26,-3,8393,8488,16972.33,16899.35,,,117.32496000000961,101.61504,0.0023042399010626637,2022-12-16 16:00:00,2022-12-20 15:00:00,3 days 23:00:00,,17182.235705979685,16770.809378815207,17240.227052539653,16995.711750610204,127.92928571428534,121.14785714285738,22203.06881479764,21990.233785543896
27,-3,8824,8837,16662.08,16862.61,,,-702.1640699999965,100.57407,-0.014047147174902533,2023-01-03 15:00:00,2023-01-04 04:00:00,0 days 13:00:00,,16703.258490309476,16716.21436202173,16706.16948217815,16705.43646512221,42.89785714285712,52.20785714285739,21301.17903323599,21276.300840026295
28,4,9857,9888,22809.46,23994.78,,,4554.063039999999,187.21695999999997,0.04991419174325029,2023-02-15 16:00:00,2023-02-16 23:00:00,1 days 07:00:00,,22370.87139768675,24381.630686944645,22307.843093763942,22700.08748174681,147.4292857142856,327.89214285714326,21344.07938743007,21383.238478271574
29,5,10475,10701,21961.74,26668.8,,,23292.14729999999,243.1527,0.2121156820907631,2023-03-13 10:00:00,2023-03-22 20:00:00,9 days 10:00:00,,21784.27757914711,28023.04189660724,21748.249909306236,25810.883224214558,349.9592857142855,400.35285714285754,21700.5724031121,22124.463615059485
